news_id,original_title,original_date,original_source,analysis_time,sentiment,direct_impact_score,direct_impact_desc,indirect_impact_score,indirect_impact_desc,certainty,time_to_effect,overall_score,risk_factors,action_suggestion
9,【本周60股获机构重点关注 “AI+金融”同花顺最受青睐】据统计，本周（2月24日至2月28日），59家机构合计进行389次评级，共计259股被券商研报给予“买入型”评级（包括买入、增持、强烈推荐、推...,2025-03-02 08:20:46,未知来源,2025-09-24 17:55:13,中性偏正,1,新闻直接提及盐津铺子获得3家及以上机构重点关注，表明机构对公司关注度提升，可能带来增量资金流入,2,作为大消费方向的代表企业之一，机构关注度的提升有助于增强市场对整个休闲食品板块的信心，改善板块估值水平,0.7,立即,3,机构关注度不等于实际买入|市场情绪变化可能削弱影响效果,关注
8,【盐津铺子：拟在泰国设立全资子公司并投资建设生产基地】 盐津铺子公告，公司拟在泰国设立全资子公司并投资建设生产基地，投资金额约为2.2亿元或3000万美金。公司计划以自有资金约106.38万元出资设立...,2025-02-24 19:53:46,未知来源,2025-09-24 17:54:39,正面,3,公司拟投资2.2亿元在泰国建立生产基地，直接推动海外业务拓展，潜在增加收入来源，但初期投入可能增加成本。,2,海外扩张增强公司全球化布局，可能提升品牌影响力，并对竞争格局产生积极影响，但需应对跨国经营风险。,0.8,6个月以上,5,海外经营风险（政策、文化等）|投资回报周期较长,关注
7,【1月22日增减持汇总】据统计，1月22日，盘后包括兴发集团、凌钢股份在内的2家A股上市公司披露增持情况。包括塞力医疗、信科移动、川金诺、盐津铺子、威马农机在内的5家A股上市公司披露减持情况。...,2025-01-22 22:23:10,未知来源,2025-09-24 17:54:39,中性偏负,-1,新闻汇总显示盐津铺子披露减持情况，与新闻2内容重复，强化市场对减持事件的关注，但无新增信息。,-1,作为多家披露减持的公司之一，可能被市场视为整体减持氛围的一部分，间接影响投资者对板块的情绪。,0.8,立即,-2,市场对减持信息过度反应|行业减持趋势影响,观望
6,【盐津铺子：4名股东拟合计减持不超0.37%公司股份】 盐津铺子公告，公司董事、副总经理兰波、杨林广、副总经理黄敏胜、副总经理张磊合计持有公司股份399.11万股，占公司总股本的1.46%。上述4名股...,2025-01-22 21:59:44,未知来源,2025-09-24 17:54:39,负面,-2,4名高管拟减持不超过0.37%股份，虽然比例较小，但可能引发市场对公司内部信心和股价短期承压的担忧。,-1,高管减持可能被市场解读为内部人士对公司短期前景谨慎，影响投资者情绪，但对公司经营无实质影响。,0.9,1个月内,-3,减持实施导致股价压力|市场情绪敏感,谨慎
5,A股食品板块短线拉升，来伊份回封涨停，好想你、立高食品、黑芝麻、桃李面包、盐津铺子等跟涨。...,2025-01-16 14:40:21,未知来源,2025-09-24 17:54:39,中性偏正,1,新闻直接提及盐津铺子作为食品板块跟涨股票之一，表明公司股价受到板块整体情绪带动，但未提及具体公司基本面变化。,2,食品板块整体拉升反映行业情绪向好，可能源于消费复苏预期或政策利好，间接提升投资者对休闲食品板块的关注度。,0.7,立即,3,板块行情可能短暂，缺乏基本面支撑|市场情绪变化快速,关注
4,【国金证券：关注休闲食品、软饮料领域的投资机会】国金证券研报指出，1）休闲食品：零食即将进入备货旺季，但近期股价呈现分化走势，当下市场更关注企业收入端增长的确定性，具备多渠道、多产品的公司拥有更强的兑...,2024-11-10 10:06:55,未知来源,2025-09-24 17:54:01,正面,2,研报直接推荐盐津铺子，看好其中长期渠道和品类扩张，可能增强投资者信心，但未直接提及财务或业务具体数据，对收入/利润的直接影响较弱,3,研报强调休闲食品行业进入备货旺季，关注多渠道、多产品公司的兑现能力，间接利好盐津铺子所在的行业，可能提升整体行业估值和竞争地位,0.6,1-3个月,5,行业竞争加剧可能影响净利率|旺季需求是否达预期存在不确定性,关注
3,【食品股午后震荡走高 惠发食品触及涨停】 食品股午后震荡走高，惠发食品触及涨停，绝味食品、三只松鼠、海欣食品、盐津铺子等纷纷冲高。...,2024-11-04 13:21:52,未知来源,2025-09-24 17:54:01,中性偏正,1,新闻提及盐津铺子随食品股冲高，反映短期市场情绪和板块轮动，但未涉及公司具体基本面变化，对收入/成本/利润无直接影响,1,板块整体走强可能暂时提升行业关注度，但对上下游产业链和竞争格局无实质性影响，更多是市场行为,0.5,立即,2,股价冲高可能伴随回调风险|缺乏基本面支撑的上涨可能不可持续,观望
2,【多只大消费股获机构关注 14股获机构上调评级】多只大消费股获机构关注。据统计，本周（10月28日至11月1日），59家机构合计进行4100余次评级，共计1283股被券商研报给予“买入型”评级（包括买...,2024-11-03 08:12:50,未知来源,2025-09-24 17:54:01,正面,3,新闻显示盐津铺子获得21家机构评级，居机构关注度次席，表明机构对公司看好，可能带来资金流入和股价支撑，但未直接提及具体业务或财务指标,2,机构关注度提升可能增强市场对休闲食品行业的信心，间接利好行业估值，但对上下游和竞争格局的影响较小,0.7,1个月内,5,机构评级可能变化|市场情绪波动可能影响短期股价,关注
1,【盐津铺子：前三季度净利润增长24.55%】 盐津铺子公告，2024年前三季度，公司实现营业收入38.61亿元，同比增长28.49%，归属于上市公司股东的净利润为4.93亿元，同比增长24.55%。公...,2024-10-28 16:25:26,未知来源,2025-09-24 17:54:01,强烈正面,5,新闻直接提及盐津铺子前三季度业绩，营收同比增长28.49%，净利润同比增长24.55%，显示公司主营业务增长强劲，直接利好公司收入和利润,3,业绩增长表明公司在渠道拓展和产品发展上取得进展，可能增强投资者信心，提升行业地位，但对上下游和竞争格局的间接影响相对有限,0.95,立即,8,业绩增长可能受季节性因素影响|行业竞争加剧可能未来侵蚀利润率,强烈关注
116,【新技术、新产品、新渠道激发新动能 七家消费行业上市公司举办业绩说明会 】海信家电、洽洽食品、TCL智家、盐津铺子、三只松鼠、路斯股份、雷神科技7家公司亮相9月13日深圳证券交易所举办的消费行业上市公...,2024-09-14 15:28:55,未知来源,2025-09-24 20:01:42,中性偏正,1,参与行业路演活动本身对公司收入/成本/利润无直接影响，但提供了展示公司价值和战略的机会,2,提升公司在投资者社区的 visibility，增强与投资界的沟通，可能改善估值水平，同时有助于了解行业趋势和竞争动态,0.6,1个月内,3,路演内容可能缺乏实质性新信息|同行竞争公司同样获得展示机会,观望
115,高盛公司将四川天味食品集团股份有限公司评级下调至卖出；将安徽古井贡酒股份有限公司评级下调至中性；将重庆市涪陵榨菜集团股份有限公司评级上调至中性；将盐津铺子食品股份有限公司评级上调至买进。...,2024-09-10 21:49:54,未知来源,2025-09-24 20:01:42,正面,3,高盛评级上调至买进将直接提升机构投资者关注度，可能带来增量资金流入，但对公司基本面无直接影响,2,提升公司在资本市场的认可度和品牌影响力，可能吸引更多分析师覆盖和投资者关注，间接增强竞争优势,0.7,立即,5,评级机构观点可能存在偏差|市场情绪变化可能影响实际效果,关注
114,高盛公司将四川天味食品集团股份有限公司评级下调至卖出；将安徽古井贡酒股份有限公司评级下调至中性；将重庆市涪陵榨菜集团股份有限公司评级上调至中性；将盐津铺子食品股份有限公司评级上调至买进。...,2024-09-10 21:49:42,未知来源,2025-09-24 20:01:42,正面,3,高盛评级上调至买进将直接提升机构投资者关注度，可能带来增量资金流入，但对公司基本面无直接影响,2,提升公司在资本市场的认可度和品牌影响力，可能吸引更多分析师覆盖和投资者关注，间接增强竞争优势,0.7,立即,5,评级机构观点可能存在偏差|市场情绪变化可能影响实际效果,关注
113,【盐津铺子增资至2.7亿】天眼查App显示，近日，盐津铺子（002847）发生工商变更，注册资本由约1.96亿人民币增至约2.74亿人民币。盐津铺子食品股份有限公司成立于2005年8月，法定代表人为张...,2024-09-02 14:22:58,未知来源,2025-09-24 20:01:42,中性偏正,2,公司注册资本增加表明资本实力增强，可能为未来业务扩张、产能提升或并购活动提供资金支持，但对当期收入/成本/利润无直接影响,1,增强市场对公司发展潜力的信心，可能提升投资者关注度，但对上下游产业链和竞争格局无实质性影响,0.8,1-3个月,3,增资资金具体用途不明确|可能存在稀释每股收益的风险,关注
112,【盐津铺子：目前自有鹌鹑养殖基地鹌鹑蛋成本价为10元左右/公斤】 盐津铺子8月26日在业绩说明会上表示，公司于2023年打造数字化、绿色鹌鹑养殖基地，目前已获得无抗生素、可生食认证。目前自有鹌鹑养殖基...,2024-08-27 10:43:26,未知来源,2025-09-24 20:00:06,正面,3,自有鹌鹑养殖基地成本优势明显，直接降低原材料成本，提升毛利率,2,绿色、无抗生素认证提升产品品质形象，增强消费者信任度，有利于品牌建设,0.9,1-3个月,5,养殖业务可能面临疫病风险|成本优势是否可持续需要观察,关注
111,【盐津铺子等在湖南成立新公司】企查查APP显示，近日，湖南津诚食品有限公司成立，法定代表人为陈胜鹏，注册资本6900万元，经营范围包含：初级农产品收购；粮食收购；粮油仓储服务等。企查查股权穿透显示，该...,2024-08-23 16:45:35,未知来源,2025-09-24 20:00:06,中性偏正,1,成立新公司涉及初级农产品收购和粮油仓储，可能有助于原材料供应链稳定，但对短期收入利润无直接影响,2,向上游延伸可增强供应链控制力，降低成本波动风险，提升长期竞争力,0.8,3-6个月,3,新公司运营需要时间产生效益|初期可能增加管理成本,观望
110,【华龙证券：关注软饮料、零食板块的投资机会】华龙证券研报指出，建议关注软饮料、零食板块的投资机会。1）软饮料：暑期消费旺季，瓶装水、功能型饮料、无糖茶、椰子水等软饮料需求旺盛，具备较高景气度，表现出较...,2024-08-19 14:17:22,未知来源,2025-09-24 20:00:06,正面,2,研报直接提及盐津铺子，建议关注该股票，可能带来投资者关注度提升和资金流入,3,研报看好零食板块整体发展，特别是渠道红利和节假日需求拉动，有利于行业估值提升,0.7,立即,5,研报观点不代表实际业绩|市场情绪变化可能影响效果,关注
109,【华龙证券：关注软饮料、零食板块的投资机会】华龙证券研报指出，建议关注软饮料、零食板块的投资机会。1）软饮料：暑期消费旺季，瓶装水、功能型饮料、无糖茶、椰子水等软饮料需求旺盛，具备较高景气度，表现出较...,2024-08-19 14:17:19,未知来源,2025-09-24 20:00:06,正面,2,研报直接提及盐津铺子，建议关注该股票，可能带来投资者关注度提升和资金流入,3,研报看好零食板块整体发展，特别是渠道红利和节假日需求拉动，有利于行业估值提升,0.7,立即,5,研报观点不代表实际业绩|市场情绪变化可能影响效果,关注
108,【东海证券：关注食品饮料五条投资主线】东海证券研报指出，建议关注食品饮料五条投资主线：1）白酒：白酒行业竞争加剧，不同价格带动销分化延续，头部酒企份额不断提升且业绩确定性比较强，在行业仍面临较大压力的...,2024-08-13 08:55:12,未知来源,2025-09-24 19:59:09,正面,3,东海证券研报明确将盐津铺子列为零食行业重点关注标的，认可其业绩增长、产品创新和渠道拓展能力,3,券商研报推荐可能引导资金流向零食板块，提升行业整体关注度，同时强化公司在细分领域的竞争优势,0.6,1-3个月,6,研报观点需要实际业绩验证|行业竞争加剧可能影响增长预期,强烈关注
107,【73股获券商买入评级，凯因科技目标涨幅达96.38%】Wind数据显示，8月9日，共有73只个股获券商买入评级，其中20只个股公布了目标价格。按最高目标价计算，凯因科技、蓝晓科技、贵州茅台目标涨幅排...,2024-08-12 08:54:23,未知来源,2025-09-24 19:59:09,正面,2,公司获得8家券商买入评级，在73只个股中评级数量排名第二，与新闻2内容相同，再次确认机构对公司的高度关注,2,重复的正面评级信息可能强化市场对公司投资价值的认知，提升投资者信心，但内容与新闻2完全一致,0.7,1个月内,4,信息重复，新增影响有限|评级机构观点可能存在趋同性,关注
106,【73股获券商买入评级，凯因科技目标涨幅达96.38%】Wind数据显示，8月9日，共有73只个股获券商买入评级，其中20只个股公布了目标价格。按最高目标价计算，凯因科技、蓝晓科技、贵州茅台目标涨幅排...,2024-08-12 08:46:29,未知来源,2025-09-24 19:59:09,正面,2,公司获得8家券商买入评级，在73只个股中评级数量排名第二，显示机构对公司基本面和前景的认可,2,券商关注度提升可能吸引更多机构投资者关注，提高股票流动性，同时增强公司在休闲食品行业的市场地位,0.7,1个月内,4,券商评级不代表实际股价表现|市场环境变化可能影响评级效果,关注
105,【A股股票回购一览：昨日7家公司披露回购进展】  Wind数据显示，昨日共7家公司发布股票回购相关公告。其中，3家公司披露股票回购实施进展，4家公司回购方案已实施完毕。从回购实施进展来看，永泰能源、盐...,2024-08-12 07:29:18,未知来源,2025-09-24 19:59:09,中性偏正,1,公司披露回购实施进展，回购金额1997.79万元，虽然金额相对市值较小，但回购行为显示管理层对公司价值的认可和现金流充裕,1,回购行为可能提升市场信心，改善投资者情绪，但对行业竞争格局和上下游产业链无实质性影响,0.8,立即,2,回购金额相对市值较小，影响有限|市场可能认为公司缺乏更好的投资机会,关注
104,【盐津铺子：上半年净利润增30% 拟10派6元】盐津铺子公告，2024年上半年公司实现营业收入24.59亿元，同比增长29.84%；归属于上市公司股东的净利润3.19亿元，同比增长30%。向全体股东每...,2024-08-08 18:14:37,未知来源,2025-09-24 19:57:43,强烈正面,4,公司公告上半年营收增长29.84%，净利润增长30%，并实施每10股派6元的分红方案，直接体现公司盈利能力和现金流状况良好,3,优异的业绩表现增强公司在行业中的竞争力，可能吸引更多投资者关注休闲食品行业，对上下游产业链有积极影响,0.95,立即,7,高基数下未来增长可能放缓|分红政策可能影响公司现金流,强烈关注
103,【盐津铺子：二季度收入有望实现环比增长】 盐津铺子近日在电话会议上表示，公司2024年第二季度有两个亮点：一是收入有望实现环比增长：Q1因年货旺季的影响，收入同比增长37%。根据零食行业的销售特性，二...,2024-07-15 12:40:42,未知来源,2025-09-24 19:57:43,正面,3,公司直接披露二季度收入有望环比增长，毛利率提升，高毛利产品快速增长，这将直接提升公司收入和利润水平,2,公司业绩向好可能增强其在休闲食品行业的竞争力，对上游原材料供应商有积极影响，但对竞争对手构成压力,0.8,立即,5,业绩预期是否能够完全实现存在不确定性|行业竞争可能加剧,强烈关注
102,【10余家上市公司盘后披露回购或增持计划公告 通化东宝拟最高2亿元回购并注销】截至发稿，据不完全统计，盘后包括通化东宝、东芯股份、帝欧家居、秦安股份、盐津铺子、交建股份、安凯微、道森股份、丰光精密、万...,2024-07-10 22:05:26,未知来源,2025-09-24 19:57:43,中性偏正,1,新闻提及盐津铺子披露回购或增持计划，表明公司管理层对公司未来发展有信心，可能通过回购提升每股收益，但对公司收入/成本/利润无直接影响,1,回购计划可能提升市场信心，改善投资者情绪，但对上下游产业链和竞争格局无实质性影响,0.7,1个月内,2,回购计划具体金额和细节未披露|市场对公司回购意图可能存在疑虑,关注
101,【10余家上市公司盘后披露回购或增持计划公告 通化东宝拟最高2亿元回购并注销】截至发稿，据不完全统计，盘后包括通化东宝、东芯股份、帝欧家居、秦安股份、盐津铺子、交建股份、安凯微、道森股份、丰光精密、万...,2024-07-10 22:05:05,未知来源,2025-09-24 19:57:43,中性偏正,1,新闻提及盐津铺子披露回购或增持计划，表明公司管理层对公司未来发展有信心，可能通过回购提升每股收益，但对公司收入/成本/利润无直接影响,1,回购计划可能提升市场信心，改善投资者情绪，但对上下游产业链和竞争格局无实质性影响,0.7,1个月内,2,回购计划具体金额和细节未披露|市场对公司回购意图可能存在疑虑,关注
100,【盐津铺子：拟以5000万元-7000万元回购公司股份】盐津铺子公告，拟以5000万元-7000万元回购公司股份，回购价格不超过68元/股，本次回购的股份将全部予以注销以减少注册资本。...,2024-07-10 20:40:30,未知来源,2025-09-24 19:56:41,正面,3,股份回购计划（5000万-7000万元）并注销，可能减少股本，提升每股收益（EPS），直接利好股东价值。,2,回购信号显示管理层对公司前景有信心，可能提振市场情绪和股价；对行业竞争无直接影响，但可能引发同行类似行动。,0.8,1个月内,5,回购计划需执行，存在不确定性|市场环境可能影响回购效果,关注
99,【盐津铺子：预计上半年净利同比增长26.18%-34.32%】盐津铺子公告，预计上半年净利3.1亿元–3.3亿元，同比增长26.18%-34.32%。公司多个渠道、多个品类实现快速发展，持续聚焦七大核...,2024-07-10 20:36:23,未知来源,2025-09-24 19:56:41,强烈正面,4,新闻直接发布公司上半年净利润预增26.18%-34.32%，显示业绩强劲增长，直接影响利润和投资者信心。,3,业绩增长可能提升公司在休闲食品行业的竞争地位，带动上下游供应链需求；行业整体可能因头部公司表现而受益。,0.9,立即,7,业绩预增基于预估，实际结果可能存在偏差|行业竞争激烈，长期增长需持续观察,强烈关注
98,【盐津铺子捐赠2000件物资驰援华容县】 据盐津铺子消息，6日上午，盐津铺子紧急调度2000件面包蛋糕等方便食品驰援岳阳华容县抗洪。...,2024-07-06 19:54:38,未知来源,2025-09-24 19:56:41,中性偏正,0,捐赠行为涉及公司物资调度，但捐赠金额未披露，且为慈善行为，对收入、成本或利润无直接影响。,2,捐赠有助于提升公司社会责任形象和品牌好感度，可能间接增强消费者忠诚度和品牌价值；对上下游无显著影响。,0.7,立即,2,捐赠成本可能轻微增加运营支出|无具体财务影响,观望
97,【浙江儿童食品专项抽检合格率100%】近日，浙江省市场监督管理局组织开展“六一”儿童节专项食品抽检，样品从全省11个设区市中小学校园周边以及商超儿童食品专区抽取，经检验，所有359批次样品均符合食品安...,2024-05-31 16:28:39,未知来源,2025-09-24 19:56:41,中性偏正,1,新闻直接提及盐津铺子作为被抽检的品牌之一，且抽检合格率为100%，表明公司产品质量符合食品安全标准，有助于维护品牌形象和消费者信任。,2,行业整体抽检合格率高，有助于提升消费者对儿童食品行业的信心，可能带动行业需求增长；盐津铺子作为被提及的品牌，可能获得相对竞争优势。,0.8,立即,3,抽检结果仅为短期事件，长期影响有限|未提及具体销售或财务数据,关注
96,【盐津铺子：张学文先生拟减持股份不超过1.5%】盐津铺子公告，张学文先生拟减持股份不超过1.5%。...,2024-05-15 20:04:52,未知来源,2025-09-24 19:55:38,负面,-3,大股东减持1.5%股份可能对股价形成短期压力，稀释股东权益,-1,可能引发市场对公司前景的担忧，影响投资者信心,0.9,立即,-4,减持规模可能扩大|市场情绪波动,谨慎
95,【盐津铺子：虎皮香辣味的蛋皇为新口味，3月份正式开始生产】 盐津铺子在互动平台表示，蛋皇作为公司多品牌战略布局中全力孵化的第二个品类品牌，专注于鹌鹑蛋零食细分赛道。公司虎皮香辣味的蛋皇为新口味，3月份...,2024-05-05 12:12:08,未知来源,2025-09-24 19:55:38,中性偏正,2,新产品推出可能带来增量收入，但短期对利润贡献有限,1,多品牌战略增强竞争力，细分市场布局可能带来长期优势,0.7,3-6个月,3,新产品市场接受度不确定|研发和市场推广成本,观望
94,"【盐津铺子：公司产品目前已覆盖美宜佳等多个连锁CVS系统】 盐津铺子4月26日在互动平台表示，公司产品目前已覆盖美宜佳等多个连锁CVS系统。公司在保持原有KA、AB类超市优势外,重点发展电商、零食量贩...",2024-04-26 15:31:48,未知来源,2025-09-24 19:55:38,正面,3,渠道扩张直接提升销售收入潜力，覆盖CVS系统及电商渠道有助于收入增长,2,增强渠道多样性，提升市场渗透率，对上下游产业链有正向拉动作用,0.8,1-3个月,5,渠道拓展成本增加|新渠道盈利能力待验证,关注
93,【盐津铺子：第一季度归母净利润1.6亿元，同比增长43.10%】盐津铺子发布2024年一季度报告，第一季度归母净利润1.6亿元，同比增长43.10%。...,2024-04-23 17:53:18,未知来源,2025-09-24 19:55:38,强烈正面,5,直接提及公司业绩，净利润1.6亿元，同比增长43.10%，显示公司盈利能力显著提升,3,强劲业绩可能增强投资者信心，提升行业地位，但对竞争格局影响有限,1.0,立即,8,业绩增长是否可持续|行业竞争加剧风险,强烈关注
92,【盐津铺子回应毛利率下滑：渠道结构变化等因素所致】 4月10日，盐津铺子发布投资者关系活动记录表。在与投资者交流过程中，盐津铺子解释了公司在2020年以来销售毛利率持续下滑的原因：首先是渠道结构变化，...,2024-04-10 19:43:15,未知来源,2025-09-24 19:54:46,中性偏负,-2,公司承认毛利率持续下滑，主要由于渠道结构变化和会计准则调整，直接影响盈利能力,-1,毛利率下滑可能影响投资者对公司盈利能力的信心，但公司给出了合理解释，缓解部分担忧,0.9,立即,-3,毛利率下滑趋势可能持续|原材料价格波动带来成本压力|渠道结构调整可能影响品牌定位,观望
91,【浙商证券：2024年大众品仍将保持渐进式回暖】浙商证券研报指出，2024年大众品仍将保持渐进式回暖，当前板块估值具备性价比，总结2024年大众品三大投资主线：1）寻找景气持续且年季报超预期的标的；2...,2024-04-05 12:32:10,未知来源,2025-09-24 19:54:46,正面,2,券商研报将公司列为推荐标的，可能吸引更多投资者关注，但对公司基本面无直接影响,3,行业整体回暖预期和券商推荐有助于提升板块估值水平，公司作为被推荐标的可能受益,0.6,1-3个月,5,研报观点不代表实际业绩表现|行业回暖进度存在不确定性,关注
90,【知名基金隐形重仓股曝光，国产啤酒龙头在列】本周，机构关注度最高的个股是青岛啤酒，达32家；其次是盐津铺子，有26家机构关注。另外，招商银行、中信证券、中材国际均有20家以上机构关注。3月29日，汇添...,2024-03-31 07:56:48,未知来源,2025-09-24 19:54:46,正面,2,26家机构关注表明机构投资者对公司关注度较高，可能带来增量资金流入，对股价有支撑作用,3,机构关注度提升有助于提高市场认可度，增强投资者信心，改善股票流动性,0.8,立即,5,机构关注度变化较快，可能随市场情绪波动|不构成实际买入建议,关注
89,【盐津铺子：目前公司代工收入占总营收比例较小】盐津铺子在互动平台表示，除了比比赞等休闲零食公司外，公司还为名创优品、蜜雪冰城、绝味食品等公司进行部分产品OEM，目前公司代工收入占总营收比例较小。...,2024-03-30 09:50:06,未知来源,2025-09-24 19:54:46,中性偏正,1,新闻直接提及公司OEM业务，但明确表示代工收入占总营收比例较小，对当前收入和利润的直接影响有限,2,与名创优品、蜜雪冰城、绝味食品等知名品牌合作可能带来品牌背书效应，有利于拓展潜在客户和市场份额,0.7,3-6个月,3,代工业务规模较小，对业绩贡献有限|OEM业务毛利率可能低于自有品牌,关注
88,【业绩亮眼 机构掘金休闲食品赛道】 受年报披露窗口期因素影响，本周机构调研热度继续维持低位。Choice数据显示，截至3月29日18时，周内仅有100余家A股公司接待机构并披露调研记录。其中，有超过六...,2024-03-30 08:02:29,未知来源,2025-09-24 19:53:49,中性偏正,2,445位投资者参与在线会议显示机构关注度高，可能带来潜在投资意向,3,休闲食品赛道获机构重点关注，行业整体关注度提升，有利于板块估值修复,0.65,1-3个月,5,机构调研不一定转化为实际投资|行业竞争加剧可能削弱利好效应,关注
